fid,GEOID,NAME,lon,lat,AUG,SEPT,OCT,NOV,DEC
1,54,West Virginia,-80.6137,38.6426,9,11,11,11,11
2,12,Florida,-82.4664,28.4771,322,571,707,708,785
3,17,Illinois,-89.1486,40.1242,33,51,75,81,85
4,27,Minnesota,-94.1983,46.3493,29,39,47,53,55
5,24,Maryland,-76.6872,38.9465,54,89,102,107,125
6,44,Rhode Island,-71.5247,41.5946,18,29,32,33,35
7,16,Idaho,-114.6594,44.3891,NULL,2,3,4,4
8,33,New Hampshire,-71.5712,43.6802,8,8,10,11,12
9,37,North Carolina,-79.1309,35.526,30,52,66,73,83
10,50,Vermont,-72.6626,44.0752,6,7,7,10,10
11,9,Connecticut,-72.7383,41.5752,39,58,58,58,58
12,10,Delaware,-75.4525,38.995,10,11,15,16,17
13,35,New Mexico,-106.1084,34.4213,3,4,7,9,9
14,6,California,-119.6639,37.2153,87,210,277,325,375
15,34,New Jersey,-74.6556,40.1102,50,91,133,157,164
16,55,Wisconsin,-89.733,44.6399,17,24,40,45,48
17,41,Oregon,-120.6053,43.9405,14,19,27,34,39
18,31,Nebraska,-99.8109,41.5271,4,8,11,12,13
19,42,Pennsylvania,-77.8389,40.8967,58,95,132,149,161
20,53,Washington,-120.5928,47.4116,16,28,34,55,58
21,22,Louisiana,-91.8142,30.9091,9,26,32,32,35
22,13,Georgia,-83.4272,32.6386,42,75,86,101,104
23,1,Alabama,-86.8445,32.7569,11,24,27,30,30
24,49,Utah,-111.6782,39.3238,6,12,15,15,19
25,39,Ohio,-82.7094,40.4155,26,36,53,71,75
26,48,Texas,-99.3171,31.4472,89,161,218,237,268
27,8,Colorado,-105.5478,38.9985,19,27,36,46,50
28,45,South Carolina,-80.8646,33.8777,28,31,31,53,54
29,40,Oklahoma,-97.5082,35.5835,13,20,27,29,29
30,47,Tennessee,-86.3434,35.843,22,38,52,55,58
31,56,Wyoming,-107.5514,42.9995,NULL,NULL,2,2,2
32,15,Hawaii,-158.11,20.9951,10,11,14,14,14
33,38,North Dakota,-100.4693,47.4463,1,1,2,2,2
34,21,Kentucky,-85.2906,37.5266,10,20,24,24,24
35,78,United States Virgin Islands,-64.839,18.0598,NULL,NULL,NULL,NULL,NULL
36,69,Commonwealth of the Northern Mariana Islands,145.5957,16.8171,NULL,NULL,NULL,NULL,NULL
37,66,Guam,144.7695,13.4428,NULL,NULL,NULL,NULL,NULL
38,23,Maine,-69.2028,45.2743,9,11,11,11,13
39,36,New York,-75.5965,42.9212,491,661,837,870,942
40,32,Nevada,-116.6552,39.3562,11,14,14,15,18
41,2,Alaska,-151.6006,63.7366,NULL,NULL,NULL,NULL,NULL
42,60,American Samoa,-170.0796,-13.966,NULL,NULL,NULL,NULL,NULL
43,26,Michigan,-85.731,44.8748,17,45,60,62,63
44,5,Arkansas,-92.4392,34.8998,5,9,10,13,13
45,28,Mississippi,-89.6534,32.7129,14,20,23,23,23
46,29,Missouri,-92.4774,38.3676,10,26,27,34,36
47,30,Montana,-109.6452,47.0334,1,7,7,7,7
48,20,Kansas,-98.3802,38.4847,8,13,15,17,17
49,18,Indiana,-86.2818,39.9199,20,32,38,46,47
50,72,Puerto Rico,-66.4147,18.2157,22,59,75,103,124
51,46,South Dakota,-100.2305,44.4361,NULL,1,2,2,2
52,25,Massachusetts,-71.504,42.1601,54,67,93,98,106
53,51,Virginia,-78.6664,37.5109,57,78,86,92,95
54,11,District of Columbia,-77.0163,38.9048,10,11,25,25,27
55,19,Iowa,-93.5001,42.0746,9,15,16,17,19
56,4,Arizona,-111.6644,34.2931,10,22,36,42,51